,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
1086,berlin-hotel-200437-review-5.json_4,there was one pump in the shower that was a body and/or shampoo.,0.0,there was one pump in the shower that was body and/or shampoo,61,there was one pump in the shower that was body andor shampoo,one pump shower body andor shampoo,6
1087,berlin-hotel-200437-review-5.json_5,The towels were so thin and coarse.,0.0,the towels were so thin and coarse,34,the towels were so thin and coarse,towels thin coarse,3
1088,berlin-hotel-200437-review-5.json_6,"I was really shocked,",0.0,was really shocked,18,was really shocked,really shocked,2
1089,berlin-hotel-200437-review-5.json_7,and a bit disgusted.,0.0,and bit disgusted,17,and bit disgusted,bit disgusted,2
1090,berlin-hotel-200437-review-5.json_8,I asked to see the manager,0.0,asked to see the manager,24,asked to see the manager,asked see manager,3
1091,berlin-hotel-200437-review-5.json_9,and she was polite was but did not acknowledge the problem until I became very specific about what I expect from a 5-star,0.0,and she was polite was but did not acknowledge the problem until became very specific about what expect from,108,and she was polite was but did not acknowledge the problem until became very specific about what expect from,polite acknowledge problem became specific expect,6
1092,berlin-hotel-200437-review-5.json_10,and what I am receiving.,0.0,and what am receiving,21,and what am receiving,receiving,1
1093,berlin-hotel-200437-review-5.json_11,"With a bit of insistence, she moved us into a 4+-star room.",0.0,with bit of insistence she moved us into room,45,with bit of insistence she moved us into room,bit insistence moved us room,5
1094,berlin-hotel-200437-review-5.json_12,"Here there were individual amenities, albeit cheap ones -- not luxurious by any means, robes, and the room just seemed genenally cleaner and brighter.",0.0,here there were individual amenities albeit cheap ones not luxurious by any means robes and the room just seemed genenally cleaner and brighter,143,here there were individual amenities albeit cheap ones not luxurious by any means robes and the room just seemed genenally cleaner and brighter,individual amenities albeit cheap ones luxurious means robes room seemed genenally cleaner brighter,13
1095,berlin-hotel-200437-review-5.json_13,"I agree with another reviewer, that they have rooms for those that book a cheap rate",0.0,agree with another reviewer that they have rooms for those that book cheap rate,79,agree with another reviewer that they have rooms for those that book cheap rate,agree another reviewer rooms book cheap rate,7
1096,berlin-hotel-200437-review-5.json_14,and other rooms for those that pay the rack rate.,0.0,and other rooms for those that pay the rack rate,48,and other rooms for those that pay the rack rate,rooms pay rack rate,4
1097,berlin-hotel-200437-review-5.json_15,"At any rate, I have no idea how they can call themselves 5-star.",0.0,at any rate have no idea how they can call themselves,53,at any rate have no idea how they can call themselves,rate idea call,3
1098,berlin-hotel-200437-review-6.json_0,"Last two days in Germany so decided to push the boat out and book the *****, got a good price and most importantly the promise of a kingsize bed.",0.0,last two days in germany so decided to push the boat out and book the got good price and most importantly the promise of kingsize bed,133,last two days in germany so decided to push the boat out and book the got good price and most importantly the promise of kingsize bed,last two days germany decided push boat book got good price importantly promise kingsize bed,15
1099,berlin-hotel-200437-review-6.json_1,"Upon arrival, checked in went up to the room and was very dissappointed.",0.0,upon arrival checked in went up to the room and was very dissappointed,70,upon arrival checked in went up to the room and was very dissappointed,upon arrival checked went room dissappointed,6
1100,berlin-hotel-200437-review-6.json_2,"The room was a bit shabby,",0.0,the room was bit shabby,23,the room was bit shabby,room bit shabby,3
1101,berlin-hotel-200437-review-6.json_3,several cracked tiles in the bathroom and the bed was not kingsize.,0.0,several cracked tiles in the bathroom and the bed was not kingsize,66,several cracked tiles in the bathroom and the bed was not kingsize,several cracked tiles bathroom bed kingsize,6
1102,berlin-hotel-200437-review-6.json_4,"There was the space for a kingsize bed alright,",0.0,there was the space for kingsize bed alright,44,there was the space for kingsize bed alright,space kingsize bed alright,4
1103,berlin-hotel-200437-review-6.json_5,but two single mattresses had been pushed in,0.0,but two single mattresses had been pushed in,44,but two single mattresses had been pushed in,two single mattresses pushed,4
1104,berlin-hotel-200437-review-6.json_6,and there was a gap between the bedside table and the mattress!!,0.0,and there was gap between the bedside table and the mattress,60,and there was gap between the bedside table and the mattress,gap bedside table mattress,4
1105,berlin-hotel-200437-review-6.json_7,I went down to the reception,0.0,went down to the reception,26,went down to the reception,went reception,2
1106,berlin-hotel-200437-review-6.json_8,and gingerly approached the subject of the bed size.,0.0,and gingerly approached the subject of the bed size,51,and gingerly approached the subject of the bed size,gingerly approached subject bed size,5
1107,berlin-hotel-200437-review-6.json_9,"There was about 5 Gastapo power dressed receptionists manning the desk at the time,",0.0,there was about gastapo power dressed receptionists manning the desk at the time,80,there was about gastapo power dressed receptionists manning the desk at the time,gastapo power dressed receptionists manning desk time,7
1108,berlin-hotel-200437-review-6.json_10,most seemed a bit scary!.,0.0,most seemed bit scary,21,most seemed bit scary,seemed bit scary,3
1109,berlin-hotel-200437-review-6.json_11,"Was it because they thought I had got the room too cheap?,",0.0,was it because they thought had got the room too cheap,54,was it because they thought had got the room too cheap,thought got room cheap,4
